"reg","ACCESS_CM2","BCC.CSM2.MR","CMCC.CM2.SR5","EC.Earth3_r1i1p1f1","EC.Earth3_r3i1p1f1","EC.Earth3_r4i1p1f1","HadGEM3.GC31.LL","HadGEM3.GC31.MM","MIROC6","MPI.ESM1.2.HR_r1i1p1f1","MPI.ESM1.2.HR_r2i1p1f1","MPI.ESM1.2.LR","MRI.ESM2.0","Average"
"E_Euro",0.2812579870224,0.258289933204651,0.247512966394424,0.237834379076958,0.237035721540451,0.262638717889786,0.246180191636086,0.249110952019691,0.216026127338409,0.260883122682571,0.246876567602158,0.255538165569305,0.277512609958649,0.252053649379657
"N_Afr",-0.333627283573151,-0.446741670370102,-0.518416941165924,-0.50828355550766,-0.533426523208618,-0.478318959474564,-0.308185636997223,-0.313963323831558,-0.823013424873352,-0.479106336832047,-0.557799637317657,-0.51232635974884,-0.447285562753677,-0.481576555050336
"SSA",-2.36432647705078,-1.51018822193146,-1.77668213844299,-1.70941460132599,-1.45435059070587,-1.77198600769043,-1.60841739177704,-1.68298518657684,-1.43510591983795,-1.3101259469986,-1.13836240768433,-1.24350917339325,-1.98974025249481,-1.61501494737772
"S_Amer",-0.396518230438232,-0.354837656021118,-0.395459979772568,-0.216459214687347,-0.309084475040436,-0.398436039686203,-0.39258149266243,-0.364296317100525,-0.332237094640732,-0.573463559150696,-0.511955499649048,-0.527139723300934,-0.280431836843491,-0.388684701461058
"AUS_NZ",0.809886932373047,0.702084302902222,0.670040845870972,0.696271479129791,0.648251712322235,0.732210576534271,0.643113017082214,0.673818230628967,0.63675844669342,0.640703439712524,0.620871722698212,0.670386672019958,0.718197643756866,0.681738078594208
"EU",0.828012347221375,0.723671972751617,0.683010697364807,0.637972891330719,0.648586988449097,0.762657523155212,0.687583267688751,0.721048414707184,0.538867056369781,0.691759824752808,0.662107050418854,0.706868588924408,0.740418255329132,0.69481268295875
"S_Asia",-1.49401021003723,-1.46419930458069,-1.37744438648224,-1.2723206281662,-1.28824746608734,-1.45697474479675,-1.27790653705597,-1.41527569293976,-1.29224073886871,-1.55002677440643,-1.47063386440277,-1.51216852664948,-1.46486163139343,-1.41048542352823
"CC_Amer",-0.901434659957886,-0.766822814941406,-0.870417714118958,-0.991243004798889,-1.02440989017487,-1.02330136299133,-0.79797887802124,-0.829570114612579,-1.2821341753006,-1.0078307390213,-0.983983993530273,-0.985075414180756,-0.845715403556824,-0.946916781938993
"S_Afr",0.553701877593994,0.488548785448074,0.517927765846252,0.547775685787201,0.469049870967865,0.518974900245667,0.434539616107941,0.483160018920898,0.406742513179779,0.401509910821915,0.407445162534714,0.446870893239975,0.465677976608276,0.472455767484812
"SE_Asia",-2.2084481716156,-2.17130017280579,-1.98863387107849,-2.00339531898499,-2.07000136375427,-2.44632863998413,-1.98014259338379,-1.9941873550415,-1.69163286685944,-2.12421679496765,-2.02284574508667,-2.16435670852661,-2.21497297286987,-2.08311250576606
"CAN",1.20123994350433,1.07949101924896,1.05691373348236,1.03796303272247,1.04360902309418,1.15653824806213,0.988810658454895,1.04878413677216,1.00675749778748,1.06671392917633,1.02368903160095,1.0714396238327,1.1347051858902,1.07051192797147
"US",0.321592211723328,0.237556353211403,0.293554812669754,0.23266564309597,0.25726118683815,0.329714924097061,0.284686654806137,0.252688854932785,0.115527920424938,0.262977600097656,0.241578057408333,0.207099139690399,0.263150364160538,0.25385028639665
"CHN_MNG",-0.899951279163361,-0.869179248809814,-0.725897073745728,-0.738068461418152,-0.786740601062775,-0.760256350040436,-0.733517587184906,-0.813963234424591,-0.642063140869141,-0.62760603427887,-0.676892459392548,-0.717819929122925,-0.775500416755676,-0.751342755097609
"M_East",-0.352473586797714,-0.401233464479446,-0.432149142026901,-0.401495367288589,-0.451450169086456,-0.393665313720703,-0.2645044028759,-0.260459572076797,-0.613802015781403,-0.463375777006149,-0.430429011583328,-0.49070730805397,-0.43150132894516,-0.414403573824809
"JPN_KR",0.0619845278561115,0.0149149624630809,0.211599305272102,0.145478487014771,0.125518098473549,0.224417045712471,0.134988397359848,-0.0373780280351639,0.0897966548800468,0.212358564138412,0.162813022732735,0.235784500837326,0.143495216965675,0.132751596590074
"C_Asia",-0.0499958992004395,-0.0650100633502007,-0.0521584413945675,-0.0879843831062317,-0.0490879416465759,-0.0731651335954666,-0.0128508312627673,0.00648898771032691,-0.104597352445126,-0.015609716065228,-0.0345593094825745,-0.0417259372770786,0.00864503998309374,-0.0439700754717566
